SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,1.785341592039913E-4
1,1.9604760746005923E-4
2,1.6069271077867597E-4
3,1.0065250535262749E-4
4,6.293365004239604E-5
5,5.7869707234203815E-5
6,6.114086136221886E-5
7,4.666992026614025E-5
8,2.2001710021868348E-5
9,1.7704087440506555E-5
10,3.271309833507985E-5
11,4.2522344301687554E-5
12,5.2264120313338935E-5
13,7.897904288256541E-5
14,1.1680178431561217E-4
15,1.5071919187903404E-4
16,1.6159313963726163E-4
17,1.350875973002985E-4
18,9.111261169891804E-5
19,6.669982394669205E-5
20,7.045113306958228E-5
21,7.749200449325144E-5
22,6.187617691466585E-5
23,3.187689071637578E-5
24,2.0746965674334206E-5
25,3.392378494027071E-5
26,4.6197015763027593E-5
27,5.657859946950339E-5
28,8.138088014675304E-5
29,9.755976498126984E-5
30,7.187522714957595E-5
31,3.07796144625172E-5
32,2.214998130511958E-5
33,3.7791334762005135E-5
34,4.500495197135024E-5
35,4.6888748329365626E-5
36,5.51168413949199E-5
37,6.42624290776439E-5
38,7.662342250114307E-5
39,9.168090036837384E-5
40,9.30616952246055E-5
41,8.739892655285075E-5
42,9.76534211076796E-5
43,1.058062189258635E-4
44,7.885020750109106E-5
45,4.198552778689191E-5
46,4.4783835619455203E-5
47,7.724182796664536E-5
48,9.509927622275427E-5
49,9.446199692320079E-5
50,9.784371650312096E-5
51,1.0320528963347897E-4
52,9.476290870225057E-5
53,7.785343041177839E-5
54,6.90771485096775E-5
55,6.675451732007787E-5
56,5.89981245866511E-5
57,4.899266787106171E-5
58,4.629553222912364E-5
59,4.730632281280123E-5
60,4.377361619845033E-5
61,3.656964690890163E-5
62,3.4497512388043106E-5
63,4.930169234285131E-5
64,8.477465598843992E-5
65,1.2509252701420337E-4
66,1.4517003728542477E-4
67,1.326354977209121E-4
68,9.559686441207305E-5
69,5.7589393691159785E-5
70,4.14159512729384E-5
71,4.910186544293538E-5
72,6.47501801722683E-5
73,7.303798338398337E-5
74,6.791926716687158E-5
75,5.728660835302435E-5
76,5.5598171456949785E-5
77,6.098084486438893E-5
78,6.15497847320512E-5
79,6.254880281630903E-5
80,7.369747618213296E-5
81,8.220216841436923E-5
82,6.867123738629743E-5
83,3.969444878748618E-5
84,2.546769246691838E-5
85,4.378733865451068E-5
86,7.806123176123947E-5
87,9.75954535533674E-5
88,8.986917237052694E-5
89,6.732983456458896E-5
90,4.599088424583897E-5
91,2.933332507382147E-5
92,2.3178861738415435E-5
93,3.7654710467904806E-5
94,5.929818144068122E-5
95,6.489052611868829E-5
96,6.289887824095786E-5
97,7.517061021644622E-5
98,9.86314335023053E-5
99,1.154164710897021E-4
100,1.1248711962252855E-4
101,8.787706610746682E-5
102,6.109149398980662E-5
103,6.182133802212775E-5
104,9.14023257791996E-5
105,1.1502163397381082E-4
106,1.0343444591853768E-4
107,6.516497523989528E-5
108,3.3935932151507586E-5
109,3.444004323682748E-5
110,5.8122765040025115E-5
111,7.68640311434865E-5
112,7.784370245644823E-5
113,7.08331135683693E-5
114,7.193026249296963E-5
115,8.247247023973614E-5
116,8.099377009784803E-5
117,6.002810914651491E-5
118,5.0203725550090894E-5
119,6.982967170188203E-5
120,9.151175618171692E-5
121,9.059307194547728E-5
122,8.320210326928645E-5
123,9.204784146277234E-5
124,1.0409593960503116E-4
125,9.077871800400317E-5
126,5.6965232943184674E-5
127,3.3171243558172137E-5
128,3.277482028352097E-5
129,5.281925405142829E-5
130,8.301671914523467E-5
131,9.439478890271857E-5
132,7.335984264500439E-5
133,5.329255509423092E-5
134,6.051419040886685E-5
135,7.887699757702649E-5
136,9.166463860310614E-5
137,9.454538667341694E-5
138,8.047834853641689E-5
139,6.1030135839246213E-5
140,6.926706555532292E-5
141,1.2014795356662944E-4
142,1.914257009048015E-4
143,2.386501873843372E-4
144,2.2649341553915292E-4
145,1.6477354802191257E-4
146,1.033808002830483E-4
147,7.574692426715046E-5
148,7.064897363306955E-5
149,6.667385605396703E-5
150,6.08963928243611E-5
151,6.17099940427579E-5
152,7.142639515222982E-5
153,7.419688336085528E-5
154,6.19672573520802E-5
155,6.35136166238226E-5
156,9.171416604658589E-5
157,1.058356137946248E-4
158,8.822433301247656E-5
159,7.511564763262868E-5
160,7.95419400674291E-5
161,8.087296737357974E-5
162,8.04247974883765E-5
163,9.260383376386017E-5
164,1.1004665429936722E-4
165,1.1666552745737135E-4
166,1.181907209684141E-4
167,1.344872871413827E-4
168,1.5696392802055925E-4
169,1.4936445222701877E-4
170,1.0408875095890835E-4
171,5.6226697779493406E-5
172,3.814488445641473E-5
173,4.911110590910539E-5
174,6.47746492177248E-5
175,6.658425263594836E-5
176,5.590116779785603E-5
177,4.16141192545183E-5
178,3.625600220402703E-5
179,4.87604811496567E-5
180,6.261416274355724E-5
181,5.601326847681776E-5
182,3.8865571696078405E-5
183,3.153137004119344E-5
184,3.091687540290877E-5
185,2.7178370146430098E-5
186,2.8277474484639242E-5
187,4.4309905206318945E-5
188,6.563957867911085E-5
189,7.639565592398867E-5
190,7.635819201823324E-5
