SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,3.817808101302944E-5
1,2.2793785319663584E-5
2,2.7588865123107098E-5
3,9.98200848698616E-5
4,1.970266312127933E-4
5,2.1777822985313833E-4
6,1.491404400439933E-4
7,7.326083141379058E-5
8,4.4366108340909705E-5
9,5.9601628890959546E-5
10,1.0498541087144986E-4
11,1.4377126353792846E-4
12,1.2879770656581968E-4
13,8.598198473919183E-5
14,9.772623889148235E-5
15,1.6325674368999898E-4
16,1.8126657232642174E-4
17,1.1855098273372278E-4
18,6.70840818202123E-5
19,7.346982602030039E-5
20,7.454017031705007E-5
21,5.336132744560018E-5
22,7.122937677195296E-5
23,1.2835107918363065E-4
24,1.6031140694394708E-4
25,1.4465450658462942E-4
26,1.092550519388169E-4
27,8.438172517344356E-5
28,7.642904529348016E-5
29,6.527297955472022E-5
30,4.126510611968115E-5
31,2.3062761101755314E-5
32,2.0233734176144935E-5
33,2.1406705855042674E-5
34,2.0125922674196772E-5
35,1.9022645574295893E-5
36,1.973696271306835E-5
37,2.3885804694145918E-5
38,3.2185162126552314E-5
39,3.647435369202867E-5
40,2.9081571483402513E-5
41,2.2320900825434364E-5
42,3.219283098587766E-5
43,5.328103725332767E-5
44,7.652919157408178E-5
45,1.0518562339711934E-4
46,1.3870341354049742E-4
47,1.5956899733282626E-4
48,1.3930820568930358E-4
49,7.939705392345786E-5
50,4.035078745801002E-5
51,6.694738840451464E-5
52,1.1251459363847971E-4
53,1.118700165534392E-4
54,7.300633296836168E-5
55,4.027538307127543E-5
56,3.0782073736190796E-5
57,3.6874898796668276E-5
58,4.856588566326536E-5
59,6.229409336810932E-5
60,8.267966040875763E-5
61,1.1225964408367872E-4
62,1.3227260205894709E-4
63,1.1314018775010481E-4
64,6.303129339357838E-5
65,3.1895953725324944E-5
66,4.014767546323128E-5
67,5.59852305741515E-5
68,5.953791696811095E-5
69,5.869677261216566E-5
70,5.7389788707951084E-5
71,6.58267890685238E-5
72,8.642383909318596E-5
73,9.140527254203334E-5
74,8.121587597997859E-5
75,9.056177077582106E-5
76,1.0666579328244552E-4
77,8.919312676880509E-5
78,4.92797807964962E-5
79,2.66423994617071E-5
80,2.9776691008009948E-5
81,3.4874759876402095E-5
82,2.67424329649657E-5
83,2.1877322069485672E-5
84,3.1099203624762595E-5
85,3.738264786079526E-5
86,4.1186256567016244E-5
87,6.219834904186428E-5
88,8.92622847459279E-5
89,1.0509479034226388E-4
90,1.271781075047329E-4
91,1.5335832722485065E-4
92,1.429196126991883E-4
93,1.0583098628558218E-4
94,1.0023287177318707E-4
95,1.220938574988395E-4
96,1.2157345918240026E-4
97,9.710137965157628E-5
98,7.15151836629957E-5
99,4.868556061410345E-5
100,3.8696776755386963E-5
101,4.766437268699519E-5
