SHARAD Reading at Lat,Lon: 72.5205, 195.0843
Line (Pixels),Value (DN)
2580,1.4428611029870808E-4
2581,1.054465610650368E-4
2582,6.745613791281357E-5
2583,1.5931254893075675E-4
2584,6.965174688957632E-4
2585,0.0031033731065690517
2586,0.010114367119967937
2587,0.021810099482536316
2588,0.029923588037490845
2589,0.02479802630841732
2590,0.011202644556760788
2591,0.002891701180487871
2592,0.0020787862595170736
2593,0.0022735255770385265
2594,0.002877922495827079
2595,0.0045678140595555305
2596,0.004278204869478941
2597,0.0026311674155294895
2598,0.0024665247183293104
2599,0.002429432235658169
2600,0.0012170772533863783
2601,6.314991042017937E-4
2602,0.001124938135035336
2603,0.0011713537387549877
2604,6.470797816291451E-4
2605,6.446092738769948E-4
2606,0.0010685557499527931
2607,9.883918100968003E-4
2608,5.6073087034747E-4
2609,4.978154902346432E-4
2610,7.015160517767072E-4
2611,9.265057742595673E-4
2612,0.0011473741615191102
2613,9.881318546831608E-4
2614,3.9871310582384467E-4
2615,5.1157949201297015E-5
2616,2.1580532484222203E-4
2617,4.313239478506148E-4
2618,3.8614653749391437E-4
2619,2.2384982730727643E-4
2620,1.1794086458394304E-4
2621,1.0627332085277885E-4
2622,2.4917442351579666E-4
2623,5.207651993259788E-4
2624,6.444664322771132E-4
2625,4.286059702280909E-4
2626,1.2260257790330797E-4
2627,7.773988909320906E-5
2628,2.1448044572025537E-4
2629,2.403885591775179E-4
2630,1.6634934581816196E-4
2631,1.4628653298132122E-4
2632,1.6386687639169395E-4
2633,1.851221895776689E-4
2634,2.4656052119098604E-4
2635,3.326966834720224E-4
2636,3.4692176268436015E-4
2637,2.3107524611987174E-4
2638,1.1419050861150026E-4
2639,1.108738433686085E-4
2640,1.0647738236002624E-4
2641,7.149991870392114E-5
2642,1.1465448915259913E-4
2643,1.541391247883439E-4
2644,1.0867181845242158E-4
2645,8.427313878200948E-5
2646,1.1745727533707395E-4
2647,1.657700922805816E-4
2648,2.1283634123392403E-4
2649,2.330506540602073E-4
2650,2.519466506782919E-4
2651,2.730377309489995E-4
2652,2.1011021453887224E-4
2653,1.065769320121035E-4
2654,1.1986128083663061E-4
2655,2.516206877771765E-4
2656,3.633167943917215E-4
2657,3.402196161914617E-4
2658,1.8928421195596457E-4
2659,6.534752174047753E-5
2660,6.336381193250418E-5
2661,8.456844807369635E-5
2662,7.689657650189474E-5
2663,1.013983492157422E-4
2664,1.1875678319483995E-4
2665,1.0225287405773997E-4
2666,2.2233562776818871E-4
2667,6.161588826216757E-4
2668,0.0011534267105162144
2669,0.0014573067892342806
2670,0.0011686913203448057
2671,4.7942562378011644E-4
2672,5.956437598797493E-5
2673,1.0871444101212546E-4
2674,1.965876726899296E-4
2675,1.4592221123166382E-4
2676,1.4106098387856036E-4
2677,1.6763729217927903E-4
2678,1.2286932906135917E-4
2679,8.718607568880543E-5
2680,1.1062718840548769E-4
2681,1.2680194049607962E-4
2682,1.2604918447323143E-4
2683,1.5311018796637654E-4
2684,1.920868962770328E-4
2685,1.786087523214519E-4
2686,1.0670519986888394E-4
2687,5.075623994343914E-5
2688,4.959874422638677E-5
2689,6.069790470064618E-5
2690,7.082535739755258E-5
2691,1.2155008153058589E-4
2692,2.0229240180924535E-4
2693,2.586267073638737E-4
2694,2.870175812859088E-4
2695,3.0202348716557026E-4
2696,2.771014114841819E-4
2697,2.0505127031356096E-4
2698,1.2734020128846169E-4
2699,6.725496496073902E-5
2700,2.561340807005763E-5
2701,1.5655650713597424E-5
2702,2.5105924578383565E-5
2703,1.951589365489781E-5
2704,1.329586848441977E-5
2705,3.128535900032148E-5
2706,4.0655286284163594E-5
2707,3.569761975086294E-5
2708,7.637819362571463E-5
2709,1.5604941290803254E-4
2710,1.8606246158014983E-4
2711,1.3649280299432576E-4
2712,6.920743908267468E-5
2713,5.618761133519001E-5
2714,9.753672929946333E-5
2715,1.183214844786562E-4
2716,8.694455755176023E-5
2717,5.763777153333649E-5
2718,5.693375351256691E-5
2719,6.003320959280245E-5
2720,6.256642518565059E-5
2721,6.867215415695682E-5
2722,6.765306170564145E-5
2723,5.837701974087395E-5
2724,4.369459566078149E-5
2725,2.6516856451053172E-5
2726,2.816161395458039E-5
2727,5.830233567394316E-5
2728,8.441747922915965E-5
2729,7.877927419031039E-5
2730,6.138246681075543E-5
2731,6.455709808506072E-5
2732,8.761773642618209E-5
2733,1.1237047147005796E-4
2734,1.326645287917927E-4
2735,1.3521510118152946E-4
2736,1.001160271698609E-4
2737,5.3492742154048756E-5
2738,4.75780398119241E-5
2739,8.110746421152726E-5
2740,1.1255532444920391E-4
2741,1.2699556828010827E-4
2742,1.2677590711973608E-4
2743,9.791446791496128E-5
2744,6.145259249024093E-5
2745,9.217614569934085E-5
2746,1.808514352887869E-4
2747,2.0336353918537498E-4
2748,1.25151127576828E-4
2749,5.160484215593897E-5
2750,4.454588997759856E-5
2751,6.752166518708691E-5
2752,7.70871847635135E-5
2753,6.684940308332443E-5
2754,5.707286254619248E-5
2755,6.203469820320606E-5
2756,7.423636270686984E-5
2757,7.88919351180084E-5
2758,6.639874482061714E-5
2759,5.197979771764949E-5
2760,6.198009214131162E-5
2761,8.299155888380483E-5
2762,8.111340139294043E-5
2763,5.9130979934707284E-5
2764,4.9572932766750455E-5
2765,7.19318340998143E-5
2766,1.0093978198710829E-4
2767,9.11039678612724E-5
2768,5.774477176601067E-5
2769,7.221321720862761E-5
2770,1.4376305625773966E-4
2771,1.867640676209703E-4
2772,1.4402042143046856E-4
2773,7.441479101544246E-5
2774,5.758737461292185E-5
2775,7.578917575301602E-5
2776,8.238379814429209E-5
2777,9.433787636226043E-5
2778,1.1738151806639507E-4
2779,1.0846470831893384E-4
2780,7.037068280624226E-5
2781,5.101535134599544E-5
2782,5.7274468417745084E-5
2783,6.548779492732137E-5
2784,6.384053267538548E-5
2785,4.947569686919451E-5
2786,3.9310205465881154E-5
2787,5.1629776862682775E-5
2788,6.355247023748234E-5
2789,6.287738506216556E-5
2790,8.175800030585378E-5
2791,1.1568616901058704E-4
2792,1.22304743854329E-4
2793,9.742288966663182E-5
2794,6.38422861811705E-5
2795,4.2080449929926544E-5
2796,4.220717164571397E-5
2797,4.640805855160579E-5
2798,3.8587033486692235E-5
2799,3.5628276236820966E-5
2800,6.337933155009523E-5
2801,1.2527529906947166E-4
2802,1.8631653802003711E-4
2803,1.9552299636416137E-4
2804,1.498140045441687E-4
2805,1.0474635200807825E-4
2806,8.990371861727908E-5
2807,8.959608385339379E-5
2808,1.3888005923945457E-4
2809,2.6128647732548416E-4
2810,3.2868090784177184E-4
2811,2.480548864696175E-4
2812,1.5368981985375285E-4
2813,1.6610417515039444E-4
2814,1.9947120745200664E-4
2815,1.5843183791730553E-4
2816,9.068597137229517E-5
2817,7.172268669819459E-5
2818,8.556825196137652E-5
2819,8.540508133592084E-5
2820,8.617871935712174E-5
2821,1.0787297651404515E-4
2822,1.1769049160648137E-4
2823,1.0208259482169524E-4
2824,9.276899800170213E-5
2825,1.113375328714028E-4
2826,1.48940016515553E-4
2827,1.6193465853575617E-4
2828,1.2016855907859281E-4
2829,7.457350875483826E-5
2830,7.124015974113718E-5
2831,7.174035272328183E-5
2832,5.6432058045174927E-5
2833,5.786048495792784E-5
2834,7.730923243798316E-5
2835,1.1605199688347057E-4
2836,1.97119647054933E-4
2837,2.6614186936058104E-4
2838,2.3158828844316304E-4
2839,1.2303102994337678E-4
2840,4.5339420466916636E-5
2841,2.5844810807029717E-5
2842,3.0306553526315838E-5
2843,3.757236845558509E-5
2844,3.436582119320519E-5
2845,2.4922044758568518E-5
2846,4.4707790948450565E-5
2847,9.6932562883012E-5
2848,1.2981207692064345E-4
2849,1.231434871442616E-4
2850,1.0726255277404562E-4
2851,8.831632294459268E-5
2852,5.8872581575997174E-5
2853,4.053416705573909E-5
2854,3.940270107705146E-5
2855,3.5043380194110796E-5
2856,3.0010753107490018E-5
2857,3.693439066410065E-5
2858,5.771428914158605E-5
2859,1.0649251635186374E-4
2860,1.7327742534689605E-4
2861,1.9792681268882006E-4
2862,1.7056945944204926E-4
2863,1.7380036297254264E-4
2864,2.6161965797655284E-4
2865,3.830592904705554E-4
2866,4.377622390165925E-4
2867,3.650838334579021E-4
2868,2.1884197485633194E-4
2869,1.4110744814388454E-4
2870,1.8415023805573583E-4
2871,2.3083141422830522E-4
2872,1.8626192468218505E-4
2873,1.0896372987190261E-4
2874,7.522257510572672E-5
2875,8.049473399296403E-5
2876,9.70607579802163E-5
2877,1.0867500532185659E-4
2878,1.078550994861871E-4
2879,1.0340561129851267E-4
2880,1.1571843788260594E-4
2881,1.4774060400668532E-4
2882,1.6551515727769583E-4
2883,1.479611819377169E-4
2884,1.1960714618908241E-4
2885,9.806882007978857E-5
2886,8.77353668329306E-5
2887,9.830931230681017E-5
2888,1.3005291111767292E-4
2889,2.2322933364193887E-4
2890,4.1279231663793325E-4
2891,5.672701518051326E-4
2892,5.177196580916643E-4
2893,3.1900921021588147E-4
2894,1.518143981229514E-4
2895,1.1269653623457998E-4
2896,1.893737498903647E-4
2897,2.6520475512370467E-4
2898,2.3271015379577875E-4
2899,1.7113400099333376E-4
2900,1.9854788843076676E-4
2901,2.457333612255752E-4
2902,2.1530322555918247E-4
2903,1.513118768343702E-4
2904,1.0121051309397444E-4
2905,5.9015757869929075E-5
2906,6.128012319095433E-5
2907,1.2498775322455913E-4
2908,1.7916745855472982E-4
2909,1.8829132022801787E-4
2910,1.9380067533347756E-4
2911,1.9211987091694027E-4
2912,1.4443270629271865E-4
2913,9.15456548682414E-5
2914,1.0466772073414177E-4
2915,1.6966316616162658E-4
2916,2.278023021062836E-4
2917,2.6015896582975984E-4
2918,2.6646623155102134E-4
2919,2.3522364790551364E-4
2920,1.7096585361286998E-4
2921,1.0575187479844317E-4
2922,7.516444748034701E-5
2923,8.924512076191604E-5
2924,1.1397475464036688E-4
2925,1.0199697862844914E-4
2926,6.593334546778351E-5
2927,7.284181629074737E-5
2928,1.2433899973984808E-4
2929,1.3356836279854178E-4
2930,7.717539119767025E-5
2931,3.10282594000455E-5
2932,2.7746234991354868E-5
2933,4.2903429857688025E-5
2934,8.214919216698036E-5
2935,1.490724680479616E-4
2936,2.1304294932633638E-4
2937,2.46846437221393E-4
2938,2.222880139015615E-4
2939,1.3641537225339562E-4
2940,6.119978934293613E-5
2941,5.473362034535967E-5
2942,7.435846055159345E-5
2943,6.574572762474418E-5
2944,4.1083145333686844E-5
2945,2.9114204153302126E-5
2946,3.0474873710772954E-5
2947,3.1702362321084365E-5
2948,2.898229104175698E-5
2949,3.07620175590273E-5
2950,4.271547732059844E-5
2951,5.6977125495905057E-5
2952,5.990023055346683E-5
2953,6.014072278048843E-5
2954,7.275884127011523E-5
2955,7.12749024387449E-5
2956,4.0120288758771494E-5
2957,2.026286892942153E-5
2958,2.7950753064942546E-5
2959,4.9284561100648716E-5
2960,9.106516517931595E-5
2961,1.2122598855057731E-4
2962,9.566538210492581E-5
2963,5.905213038204238E-5
2964,5.466993388836272E-5
2965,5.0803457270376384E-5
2966,5.1212038670200855E-5
2967,9.162410424323753E-5
2968,1.2797386443708092E-4
2969,1.0209155880147591E-4
2970,6.382598076015711E-5
2971,9.28996378206648E-5
2972,1.5656495816074312E-4
2973,1.6274614608846605E-4
2974,1.0642347479006276E-4
2975,5.1557548431446776E-5
2976,2.525467425584793E-5
2977,2.2018786694388837E-5
2978,3.922190808225423E-5
2979,6.124900392023847E-5
2980,7.316919072763994E-5
2981,7.814148557372391E-5
2982,9.53605558606796E-5
2983,1.7280550673604012E-4
2984,3.230385482311249E-4
2985,4.8677774611860514E-4
2986,6.559689063578844E-4
2987,8.283401257358491E-4
2988,8.30417382530868E-4
2989,5.444854614324868E-4
2990,2.0515613141469657E-4
2991,1.0033612488768995E-4
2992,1.8818526586983353E-4
2993,2.7443384169600904E-4
2994,2.9811865533702075E-4
2995,2.8307019965723157E-4
2996,2.3018085630610585E-4
2997,1.4658301370218396E-4
2998,7.606438884977251E-5
2999,4.91083919769153E-5
3000,4.174033892923035E-5
3001,3.608137558330782E-5
3002,5.108577897772193E-5
3003,6.850263162050396E-5
3004,6.416245742002502E-5
3005,7.652508793398738E-5
3006,1.0203041892964393E-4
3007,8.469575550407171E-5
3008,5.825032712891698E-5
3009,7.978273060871288E-5
3010,1.128274598158896E-4
3011,1.1670467210933566E-4
3012,1.0233643115498126E-4
3013,1.1188488861080259E-4
3014,2.0239556033629924E-4
3015,3.4085274091921747E-4
3016,4.0546286618337035E-4
3017,3.5387990646995604E-4
3018,2.3765866353642195E-4
3019,1.1671147512970492E-4
3020,5.5821226851549E-5
3021,7.419802568620071E-5
3022,1.0375236888648942E-4
3023,9.1589565272443E-5
3024,6.77600473864004E-5
3025,6.559611938428134E-5
3026,6.623363151447847E-5
3027,5.491908814292401E-5
3028,5.434851846075617E-5
3029,7.410629041260108E-5
3030,8.62769375089556E-5
3031,7.057675975374877E-5
3032,4.7085130063351244E-5
3033,4.453856672625989E-5
3034,6.0481150285340846E-5
3035,8.86014531715773E-5
3036,1.5542563050985336E-4
3037,2.7616682928055525E-4
3038,4.039675695821643E-4
3039,4.6424721949733794E-4
3040,4.180732066743076E-4
3041,2.9261919553391635E-4
3042,1.7417001072317362E-4
3043,1.404279755661264E-4
3044,1.7495820065960288E-4
3045,1.8856498354580253E-4
3046,1.3755397230852395E-4
3047,6.908795330673456E-5
3048,3.684855255414732E-5
3049,3.898354771081358E-5
3050,5.888929445063695E-5
3051,8.582662849221379E-5
3052,9.100761235458776E-5
3053,6.738620140822604E-5
3054,5.760863496107049E-5
3055,8.268032252090052E-5
3056,1.1448193981777877E-4
3057,1.3058121840003878E-4
3058,1.2381277338135988E-4
3059,1.0206640581600368E-4
3060,1.0962476517306641E-4
3061,1.5770313621032983E-4
3062,1.7233978724107146E-4
3063,1.2342713307589293E-4
3064,9.177143510896713E-5
3065,1.1002736573573202E-4
3066,1.0716233373386785E-4
3067,6.310167373158038E-5
3068,4.097657074453309E-5
3069,7.262207509484142E-5
3070,1.2549295206554234E-4
3071,1.3997573114465922E-4
3072,9.490962111158296E-5
3073,5.121001595398411E-5
3074,5.87157228437718E-5
3075,8.522101416019723E-5
3076,9.93961002677679E-5
3077,1.0706398461479694E-4
3078,1.0489601118024439E-4
3079,8.574500679969788E-5
3080,6.296286301221699E-5
3081,6.445966573664919E-5
3082,1.0045887029264122E-4
3083,1.4356528117787093E-4
3084,1.6774256073404104E-4
3085,1.6879558097571135E-4
3086,1.4429548173211515E-4
3087,1.0847228259081021E-4
3088,9.105886420002207E-5
3089,1.0547825513640419E-4
3090,1.3070445857010782E-4
3091,1.1110175546491519E-4
3092,5.852775939274579E-5
3093,7.603369158459827E-5
3094,1.364975469186902E-4
3095,1.1629829532466829E-4
3096,7.800191815476865E-5
3097,1.1170682410011068E-4
3098,1.1824724788311869E-4
3099,6.332641351036727E-5
3100,5.025136488256976E-5
3101,7.87238241173327E-5
3102,7.858128810767084E-5
3103,5.560250792768784E-5
3104,4.4813456042902544E-5
3105,5.1185430493205786E-5
3106,5.870328823220916E-5
3107,6.400806887540966E-5
3108,8.897564839571714E-5
3109,1.290755026275292E-4
3110,1.377962762489915E-4
3111,9.882511949399486E-5
3112,6.288713484536856E-5
3113,7.219449616968632E-5
3114,1.0229158942820504E-4
3115,1.3748882338404655E-4
3116,1.9564006652217358E-4
3117,2.4771131575107574E-4
3118,2.709659456741065E-4
3119,3.2350991386920214E-4
3120,4.313214449211955E-4
3121,5.050624604336917E-4
3122,4.473669396247715E-4
3123,3.015323309227824E-4
3124,2.1424565056804568E-4
3125,2.2331115906126797E-4
3126,2.360903745284304E-4
3127,2.2055763110984117E-4
3128,2.0790769485756755E-4
3129,1.814605639083311E-4
3130,1.2829834304284304E-4
3131,7.796262798365206E-5
3132,3.738171290024184E-5
3133,1.412668643752113E-5
3134,6.171927088871598E-5
3135,1.7455386114306748E-4
3136,2.259275788674131E-4
3137,1.4723915955983102E-4
3138,4.632015043171123E-5
3139,3.479611041257158E-5
3140,1.0671414202079177E-4
3141,2.104917512042448E-4
3142,2.667511289473623E-4
3143,2.1472934167832136E-4
3144,1.28792438772507E-4
3145,1.1902482219738886E-4
3146,1.6480701742693782E-4
3147,1.9574916223064065E-4
3148,1.9659122335724533E-4
3149,1.5940924640744925E-4
3150,8.862357935868204E-5
3151,4.357145007816143E-5
3152,5.154600876267068E-5
3153,6.6337117459625E-5
3154,7.524997636210173E-5
3155,9.762473200680688E-5
3156,1.0891558486036956E-4
3157,1.0589538578642532E-4
3158,1.1681421165121719E-4
3159,1.1381283547962084E-4
3160,7.693679071962833E-5
3161,4.8746951506473124E-5
3162,4.071948933415115E-5
3163,3.086253491346724E-5
3164,2.534480699978303E-5
3165,3.43161664204672E-5
3166,5.1178751164115965E-5
3167,5.9747399063780904E-5
3168,5.5011598306009546E-5
3169,6.004315218888223E-5
3170,7.263861334649846E-5
3171,6.514192500617355E-5
3172,5.717032399843447E-5
3173,6.933195982128382E-5
3174,7.530488073825836E-5
3175,6.764321733498946E-5
3176,5.632701504509896E-5
3177,4.204856668366119E-5
3178,4.820341928279959E-5
3179,8.10397177701816E-5
3180,9.919307922245935E-5
3181,8.890099707059562E-5
3182,7.912973524071276E-5
3183,7.495522004319355E-5
3184,5.75776539335493E-5
3185,4.266643009032123E-5
3186,6.501591997221112E-5
3187,9.979235619539395E-5
3188,8.976356184575707E-5
3189,4.3486335925990716E-5
3190,1.2276965208002366E-5
3191,1.131129920395324E-5
3192,2.5697685487102717E-5
3193,4.050637289765291E-5
3194,4.174975765636191E-5
3195,3.547695814631879E-5
3196,5.760549538535997E-5
3197,1.0872240090975538E-4
3198,1.2824541772715747E-4
3199,9.795922960620373E-5
3200,7.360136805800721E-5
3201,7.669822662137449E-5
3202,7.393017585854977E-5
3203,5.3957352065481246E-5
3204,3.704797927639447E-5
