SHARAD Reading at Lat,Lon: 77.0852, 269.9833
Line (Pixels),Value (DN)
0,6.0316844610497355E-5
1,7.059628842398524E-5
2,1.0496238974155858E-4
3,1.084350369637832E-4
4,9.610792767489329E-5
5,1.0685691086109728E-4
6,1.228245091624558E-4
7,1.2268219143152237E-4
8,1.2025736214127392E-4
9,1.2339255772531033E-4
10,1.3090790889691561E-4
11,1.4596054097637534E-4
12,1.548704458400607E-4
13,1.3189656601753086E-4
14,7.937308691907674E-5
15,4.508404526859522E-5
16,7.049278792692348E-5
17,1.2421386782079935E-4
18,1.4474398631136864E-4
19,1.2316576612647623E-4
20,8.773867739364505E-5
21,6.181014032335952E-5
22,5.401781891123392E-5
23,5.254652933217585E-5
24,4.583564441418275E-5
25,3.840424687950872E-5
26,3.781394480029121E-5
27,5.5066437198547646E-5
28,8.663591870572418E-5
29,9.599031182006001E-5
30,6.950719398446381E-5
31,4.852051642956212E-5
32,6.433868111344054E-5
33,9.73049463937059E-5
34,1.0807795479195192E-4
35,8.211862586904317E-5
36,4.914085366181098E-5
37,4.3139898480148986E-5
38,5.456953658722341E-5
39,5.735451850341633E-5
40,4.966056076227687E-5
41,4.130908564548008E-5
42,3.601530261221342E-5
43,3.622118674684316E-5
44,4.466582686291076E-5
45,6.511402170872316E-5
46,1.0635528451530263E-4
47,1.5829445328563452E-4
48,1.7241564637515694E-4
49,1.2213981244713068E-4
50,5.8535762946121395E-5
51,4.19501266151201E-5
52,6.365634908434004E-5
53,8.317254105350003E-5
54,9.350349137093872E-5
55,1.1349350097589195E-4
56,1.30397267639637E-4
57,1.0316582483937964E-4
58,5.173936006030999E-5
59,4.488246122491546E-5
60,7.415927393594757E-5
61,7.890663982834667E-5
62,6.91558379912749E-5
63,8.723767678020522E-5
64,1.1559340782696381E-4
65,1.166519577964209E-4
66,1.0107093112310395E-4
67,9.904766920953989E-5
68,1.0736629337770864E-4
69,1.1149526108056307E-4
70,1.1060133692808449E-4
71,9.865009633358568E-5
72,8.506928134011105E-5
73,8.91099771251902E-5
74,8.640567102702335E-5
75,6.790563929826021E-5
76,7.603254925925285E-5
77,9.463460446568206E-5
78,7.218498649308458E-5
79,4.2633622797438875E-5
80,5.108809273224324E-5
81,6.293373735388741E-5
82,4.9589896661927924E-5
83,4.228546458762139E-5
84,5.630504892906174E-5
85,6.20582140982151E-5
86,6.212648440850899E-5
87,9.335646609542891E-5
88,1.276343537028879E-4
89,1.0826517973328009E-4
90,7.472099969163537E-5
91,9.626802784623578E-5
92,1.4129980991128832E-4
93,1.3779939035885036E-4
94,8.86687557795085E-5
95,5.9658046666299924E-5
96,8.945113222580403E-5
97,1.4147152251098305E-4
98,1.6010362014640123E-4
99,1.4114088844507933E-4
100,1.1293778516119346E-4
101,8.956077363109216E-5
102,6.592999852728099E-5
103,4.709716813522391E-5
104,5.5730837630108E-5
105,7.965568511281163E-5
106,7.980121881701052E-5
107,7.419711619149894E-5
108,9.47739536059089E-5
109,1.047615151037462E-4
110,8.129097841447219E-5
111,6.730638415319845E-5
112,8.047361188801005E-5
113,9.467767085880041E-5
114,9.994889114750549E-5
115,9.908892388921231E-5
116,8.929774048738182E-5
117,7.430430559907109E-5
118,5.761561988038011E-5
119,3.927756188204512E-5
120,3.336307418067008E-5
121,4.628153328667395E-5
122,5.6807130022207275E-5
123,6.02165782765951E-5
124,7.089268183335662E-5
125,7.205452129710466E-5
126,4.9911915994016454E-5
127,3.813051080214791E-5
128,5.803948442917317E-5
129,8.184160105884075E-5
130,8.141526632243767E-5
131,5.7125322200590745E-5
132,2.6241423256578855E-5
133,1.3640260476677213E-5
134,3.482590182102285E-5
135,6.979756290093064E-5
136,7.923185330582783E-5
137,6.187370308907703E-5
138,5.46739247511141E-5
139,6.966620276216418E-5
140,8.16570027382113E-5
141,7.332326640607789E-5
142,5.705768126063049E-5
143,5.5601638450752944E-5
144,6.771145126549527E-5
145,6.890014628879726E-5
146,5.2673942263936624E-5
