SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,1.8543237820267677E-4
1,1.5057843120303005E-4
2,7.91339625720866E-5
3,3.5349599784240127E-5
4,3.039930379600264E-5
5,3.536100120982155E-5
6,4.442495628609322E-5
7,7.679546979488805E-5
8,1.1535372323123738E-4
9,1.1703552445396781E-4
10,8.74704637681134E-5
11,6.745629798388109E-5
12,6.684859545202926E-5
13,6.616277096327394E-5
14,5.2188566769473255E-5
15,3.664977339212783E-5
16,4.7335484850918874E-5
17,8.5869622125756E-5
18,1.1727078526746482E-4
19,1.189963222714141E-4
20,1.0352161916671321E-4
21,8.789569983491674E-5
22,7.923771045170724E-5
23,8.924769645091146E-5
24,1.2262180098332465E-4
25,1.5148098464123905E-4
26,1.4386953262146562E-4
27,1.0681411367841065E-4
28,7.120429654605687E-5
29,6.719803059240803E-5
30,1.1172188533237204E-4
31,1.735609257593751E-4
32,1.8838296819012612E-4
33,1.418247993569821E-4
34,8.173002424882725E-5
35,4.680731944972649E-5
36,4.5689786929870024E-5
37,8.324115333380178E-5
38,1.409954420523718E-4
39,1.6202185361180454E-4
40,1.214234798680991E-4
41,7.215666119009256E-5
42,5.8852980146184564E-5
43,5.355332905310206E-5
44,3.776257290155627E-5
45,5.1833347242791206E-5
46,1.0588291479507461E-4
47,1.425408700015396E-4
48,1.2868801422882825E-4
49,9.991792467189953E-5
50,9.38777593546547E-5
51,1.0513263987377286E-4
52,1.1199571599718183E-4
53,1.0139741789316759E-4
54,7.612471381435171E-5
55,5.680014146491885E-5
56,5.5230306315934286E-5
57,6.160304474178702E-5
58,7.421791815431789E-5
59,9.720875095808879E-5
60,1.1115371307823807E-4
61,9.49083041632548E-5
62,6.371503695845604E-5
63,5.3263727750163525E-5
64,7.301610457943752E-5
65,9.93691646726802E-5
66,1.1827141133835539E-4
67,1.322559401160106E-4
68,1.2277407222427428E-4
69,7.490244024666026E-5
70,2.830742596415803E-5
71,3.041705713258125E-5
72,6.616388418478891E-5
73,8.840062946546823E-5
74,8.786164107732475E-5
75,9.247644629795104E-5
76,1.0932083387160674E-4
77,1.1170749348821118E-4
78,9.40832615015097E-5
79,8.267062366940081E-5
80,8.122502913465723E-5
81,7.355892012128606E-5
82,6.74848779453896E-5
83,7.390553946606815E-5
84,8.100699778879061E-5
85,8.605340553913265E-5
86,1.0057666804641485E-4
87,1.1814179742941633E-4
88,1.2081347813364118E-4
89,1.0360096348449588E-4
90,7.724776514805853E-5
91,6.572539132321253E-5
92,8.470285683870316E-5
93,1.1323747457936406E-4
94,1.1897001240868121E-4
95,1.0163819388253614E-4
96,8.08569384389557E-5
97,6.320890679489821E-5
98,4.7077435738174245E-5
99,4.346740388427861E-5
100,6.015292456140742E-5
101,7.123424438759685E-5
102,5.745503949583508E-5
103,5.713989958167076E-5
104,9.52680129557848E-5
105,1.2016780965495855E-4
106,9.729259181767702E-5
107,7.582940452266484E-5
108,9.688346472103149E-5
109,1.2737722136080265E-4
110,1.2641171633731574E-4
111,1.0276807734044269E-4
112,7.815365825081244E-5
113,6.0015288909198716E-5
114,6.707231659675017E-5
115,1.0532233136473224E-4
116,1.29898646264337E-4
117,1.107229691115208E-4
118,8.2803686382249E-5
119,7.633942004758865E-5
120,7.845561049180105E-5
121,7.738542626611888E-5
122,7.74799264036119E-5
123,8.298827742692083E-5
124,8.748831896809861E-5
125,7.703134906478226E-5
126,5.888493251404725E-5
127,5.725043229176663E-5
128,6.709471199428663E-5
129,6.707914872094989E-5
130,7.081831427058205E-5
131,1.0300223220838234E-4
132,1.3793606194667518E-4
133,1.2643168156500906E-4
134,7.807231304468587E-5
135,4.3844531319336966E-5
136,3.507232395350002E-5
137,4.549532604869455E-5
138,9.829249756876379E-5
139,1.8213588919024915E-4
140,2.2296703536994755E-4
141,1.8268170242663473E-4
142,1.0860626207431778E-4
143,6.472715176641941E-5
144,6.456561095546931E-5
145,7.496571925003082E-5
146,7.388692756649107E-5
147,8.179400174412876E-5
148,1.1110859486507252E-4
149,1.305094629060477E-4
150,1.1500855180202052E-4
151,8.0525191151537E-5
152,5.0733404350467026E-5
153,3.505591303110123E-5
154,3.742199987755157E-5
155,5.1653842092491686E-5
156,6.155723531264812E-5
157,6.548016972374171E-5
158,7.46283185435459E-5
159,8.15724633866921E-5
160,7.130220183171332E-5
161,5.8196932513965294E-5
162,7.001968333497643E-5
163,1.1215641279704869E-4
164,1.658804394537583E-4
165,1.9302791042719036E-4
166,1.6198532830458134E-4
167,9.523874905426055E-5
168,4.603133857017383E-5
169,3.127107265754603E-5
170,3.425071554374881E-5
171,4.198088208795525E-5
172,5.0977218052139506E-5
173,6.149779801489785E-5
174,7.50513281673193E-5
175,9.846330794971436E-5
176,1.3537191262003034E-4
177,1.5965916099958122E-4
178,1.4096511586103588E-4
179,9.67562009464018E-5
180,6.197742186486721E-5
181,4.477769471122883E-5
182,5.204124317970127E-5
183,8.908814925234765E-5
184,1.2654182501137257E-4
185,1.2755025818478316E-4
186,9.071755630429834E-5
187,4.7633260692236945E-5
188,3.215403557987884E-5
189,4.271600118954666E-5
190,5.3291485528461635E-5
191,6.387651228578761E-5
192,8.736003655940294E-5
193,1.0628090240061283E-4
194,1.0050708806375042E-4
195,8.255449210992083E-5
196,7.024889055173844E-5
197,6.553407001774758E-5
198,7.150588498916477E-5
199,9.025345207192004E-5
200,1.0371789539931342E-4
201,9.109290112974122E-5
202,6.103321720729582E-5
