SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,2.6211804652120918E-5
1,3.325686338939704E-5
2,4.751884625875391E-5
3,6.197416223585606E-5
4,7.749455835437402E-5
5,6.861185829620808E-5
6,3.4552889701444656E-5
7,1.2771799447364174E-5
8,1.0657774510036688E-5
9,1.2568151760206092E-5
10,2.4006551029742695E-5
11,5.054944631410763E-5
12,7.98627661424689E-5
13,9.595590381650254E-5
14,9.045987826539204E-5
15,6.946444045752287E-5
16,4.7330118832178414E-5
17,3.8470763684017584E-5
18,4.9182162911165506E-5
19,6.444880273193121E-5
20,6.749931344529614E-5
21,5.845748819410801E-5
22,4.172719854977913E-5
23,3.498234582366422E-5
24,5.3321167797548696E-5
25,6.740388198522851E-5
26,5.120157584315166E-5
27,3.1695784855401143E-5
28,3.151303099002689E-5
29,3.490229937597178E-5
30,3.340831244713627E-5
31,4.750229345518164E-5
32,8.810771396383643E-5
33,1.25147940707393E-4
34,1.307055208599195E-4
35,1.2082364992238581E-4
36,1.0850304533960298E-4
37,8.65413821884431E-5
38,8.019074448384345E-5
39,1.180326726171188E-4
40,1.6376662824768573E-4
41,1.6441693878732622E-4
42,1.2781812984030694E-4
43,9.367791790282354E-5
44,7.348434155574068E-5
45,5.792768934043124E-5
46,4.400613033794798E-5
47,3.1619529181625694E-5
48,2.190450504713226E-5
49,2.1195488443481736E-5
50,3.357416790095158E-5
51,5.724332731915638E-5
52,8.057893137447536E-5
53,8.785026147961617E-5
54,8.024624548852444E-5
55,6.773133645765483E-5
56,6.1002701841061935E-5
57,7.646885205758736E-5
58,9.479874279350042E-5
59,7.439596083713695E-5
60,3.9133476093411446E-5
61,3.4072032576659694E-5
62,4.153185727773234E-5
63,4.830430407309905E-5
64,7.112236926332116E-5
65,8.982147119240835E-5
66,8.438235090579838E-5
67,7.497196202166378E-5
68,6.685941480100155E-5
69,5.412181417341344E-5
70,5.772075746790506E-5
71,8.396877092309296E-5
72,9.791447519091889E-5
73,7.683141302550212E-5
74,4.47956335847266E-5
75,3.671248123282567E-5
76,5.59226973564364E-5
77,7.372425898211077E-5
78,6.350121839204803E-5
79,3.7435693229781464E-5
80,2.9266155252116732E-5
81,3.888586434186436E-5
82,3.74069859390147E-5
83,2.1902927983319387E-5
84,1.7027041394612752E-5
85,3.25215223710984E-5
86,5.9242935094516724E-5
87,8.854493353283033E-5
88,1.0268582263961434E-4
89,8.463084668619558E-5
90,5.601162774837576E-5
91,4.668775727623142E-5
92,4.4992721086600795E-5
93,4.0704795537749305E-5
94,5.5178432376123965E-5
95,8.489302854286507E-5
96,9.431936632608995E-5
97,7.782276225043461E-5
98,6.562451017089188E-5
99,7.443775393767282E-5
100,8.921357220970094E-5
101,9.148902609013021E-5
102,8.30322242109105E-5
103,7.468778494512662E-5
104,6.77215211908333E-5
105,5.089754267828539E-5
