SHARAD Reading at Lat,Lon: 77.0852, 269.9833
Line (Pixels),Value (DN)
0,4.89299236505758E-5
1,6.056413985788822E-5
2,8.335978782270104E-5
3,8.81138039403595E-5
4,7.593744521727785E-5
5,5.8649959100876004E-5
6,3.8674159441143274E-5
7,2.9800714401062578E-5
8,5.25688192283269E-5
9,9.713819599710405E-5
10,1.2411404168233275E-4
11,1.1309730325592682E-4
12,9.47535882005468E-5
13,1.0394409036962315E-4
14,1.2189347035018727E-4
15,1.2112162221455947E-4
16,1.1561383143998682E-4
17,1.1474069469841197E-4
18,1.0569898586254567E-4
19,8.508364408044145E-5
20,5.99678787693847E-5
21,5.865615457878448E-5
22,9.389720798935741E-5
23,1.0715791722759604E-4
24,6.851145008113235E-5
25,3.641816510935314E-5
26,3.699735680129379E-5
27,4.354457632871345E-5
28,4.5636523282155395E-5
29,4.2499763367231935E-5
30,6.056815618649125E-5
31,1.2577023881021887E-4
32,1.718265120871365E-4
33,1.3615499483421445E-4
34,8.57271661516279E-5
35,8.512385829817504E-5
36,9.017473348649219E-5
37,7.616315269842744E-5
38,8.981822611531243E-5
39,1.2693373719230294E-4
40,1.298769493587315E-4
41,1.0509714775253087E-4
42,9.790622425498441E-5
43,1.0143704275833443E-4
44,9.47699518292211E-5
45,9.739968663780019E-5
46,1.2174239236628637E-4
47,1.3114594912622124E-4
48,9.695244079921395E-5
49,5.398791472543962E-5
50,5.0138765800511464E-5
51,7.778091094223782E-5
52,9.075926936930045E-5
53,8.13470542198047E-5
54,9.273497562389821E-5
55,1.2788819731213152E-4
56,1.4742932398803532E-4
57,1.5598222671542317E-4
58,1.6017768939491361E-4
59,1.2802291894331574E-4
60,6.817442772444338E-5
61,2.7974940167041495E-5
62,2.263713577121962E-5
63,3.6830992030445486E-5
64,5.751773278461769E-5
65,8.049471216509119E-5
66,8.727799286134541E-5
67,6.214604945853353E-5
68,3.350986662553623E-5
69,2.3632925149286166E-5
70,2.6655650799511932E-5
71,6.216940528247505E-5
72,1.2161987979197875E-4
73,1.3598171062767506E-4
74,9.173103899229318E-5
75,5.2046925702597946E-5
76,5.1186532800784335E-5
77,6.569820106960833E-5
78,6.4977488364093E-5
