SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,8.337719918927178E-5
1,7.615781942149624E-5
2,6.105912325438112E-5
3,4.8804242396727204E-5
4,4.2299045162508264E-5
5,4.060226638102904E-5
6,4.649844049708918E-5
7,5.9093625168316066E-5
8,6.533256964758039E-5
9,5.377371417125687E-5
10,4.039487976115197E-5
11,5.133200465934351E-5
12,7.03181212884374E-5
13,6.074517659726553E-5
14,3.98304000555072E-5
15,4.643984357244335E-5
16,6.171349377837032E-5
17,5.2512637921608984E-5
18,3.933390325983055E-5
19,4.7947636630851775E-5
20,5.862724356120452E-5
21,4.94377309223637E-5
22,3.705690323840827E-5
23,4.635304503608495E-5
24,6.866964395157993E-5
25,7.60401162551716E-5
26,6.431539077311754E-5
27,5.104691081214696E-5
28,4.15577924286481E-5
29,3.0474659070023336E-5
30,2.1474768800544553E-5
31,2.206391582149081E-5
32,3.131101038889028E-5
33,3.885699698003009E-5
34,3.7031732063042E-5
35,3.364282019902021E-5
36,3.886468039127067E-5
37,5.390961450757459E-5
38,8.0688732850831E-5
39,1.0861305781872943E-4
40,1.089536162908189E-4
41,7.88404795457609E-5
42,4.940692087984644E-5
43,3.5885950637748465E-5
44,3.1656843930250034E-5
45,3.967066732002422E-5
46,6.42484228592366E-5
47,9.307068103225902E-5
48,1.1082678975071758E-4
49,1.1391017324058339E-4
50,1.0686417954275385E-4
51,9.210639109369367E-5
52,6.974415009608492E-5
53,5.1231290854047984E-5
54,5.325332313077524E-5
55,6.940381717868149E-5
56,7.822960469638929E-5
57,7.812727562850341E-5
58,7.76529050199315E-5
59,6.858959386590868E-5
60,4.617640297510661E-5
61,3.0539798899553716E-5
62,3.900083538610488E-5
63,5.86305650358554E-5
64,6.429303175536916E-5
65,5.447455259854905E-5
66,5.220694947638549E-5
67,6.755083450116217E-5
68,8.455343777313828E-5
69,9.093922562897205E-5
70,9.006964683067054E-5
71,8.602443267591298E-5
72,8.002896356629208E-5
73,7.092829764587805E-5
74,5.476110163726844E-5
75,3.8492151361424476E-5
76,4.2989668145310134E-5
77,7.582247053505853E-5
78,1.1562155850697309E-4
79,1.3848855451215059E-4
80,1.4209574146661907E-4
81,1.3153172039892524E-4
82,1.0778393334476277E-4
83,7.63118005124852E-5
84,4.541848102235235E-5
85,3.20769140671473E-5
86,6.283681432250887E-5
87,1.2173105642432347E-4
88,1.4305285003501922E-4
89,1.1276835721218958E-4
90,9.274780313717201E-5
91,1.0560603550402448E-4
92,1.0464096703799441E-4
93,7.562398968730122E-5
94,6.370733899530023E-5
95,8.935634832596406E-5
96,1.1584859748836607E-4
97,1.144851921708323E-4
98,1.0443278006277978E-4
99,1.0442238271934912E-4
100,9.96067828964442E-5
101,8.243277989095077E-5
102,6.857359403511509E-5
103,5.824278196087107E-5
104,3.96534196624998E-5
105,2.584913636383135E-5
106,3.571862180251628E-5
107,5.750393393100239E-5
108,6.771538755856454E-5
109,6.168966501718387E-5
110,5.176464037504047E-5
111,5.688346936949529E-5
112,8.651043026475236E-5
113,1.1926397564820945E-4
114,1.2073861580574885E-4
115,9.22698964131996E-5
116,6.70886438456364E-5
117,5.99648519710172E-5
118,6.344987195916474E-5
119,7.643824210390449E-5
120,9.563137427903712E-5
121,1.053869491443038E-4
122,1.038205373333767E-4
123,1.1159783753100783E-4
124,1.366528304060921E-4
125,1.5365397848654538E-4
126,1.410525437677279E-4
127,1.1801208165707067E-4
128,1.1302770144538954E-4
129,1.1888614972122014E-4
130,1.0852364357560873E-4
131,7.554759213235229E-5
132,4.4937569327885285E-5
133,4.234777225065045E-5
134,5.5050226364983246E-5
135,5.6500644859625027E-5
136,6.032350211171433E-5
137,9.509249503025785E-5
138,1.4601780276279896E-4
139,1.7042570107150823E-4
140,1.5136036381591111E-4
141,1.1193387763341889E-4
142,8.617682760814205E-5
143,8.219462324632332E-5
144,8.116086246445775E-5
145,7.1142909291666E-5
146,6.2220984546002E-5
147,7.025522063486278E-5
148,9.769109601620585E-5
149,1.2212096771690995E-4
150,1.1878216173499823E-4
151,1.0135210322914645E-4
152,9.262594539904967E-5
153,7.649962935829535E-5
154,4.749575964524411E-5
155,3.852142617688514E-5
156,4.7319335862994194E-5
157,4.01064426114317E-5
158,2.810340629366692E-5
159,4.242514478391968E-5
160,8.115266973618418E-5
161,1.246994361281395E-4
162,1.4571189240086824E-4
163,1.2327574950177222E-4
164,8.045318099902943E-5
165,6.558447057614103E-5
166,9.027755004353821E-5
167,1.138270745286718E-4
168,9.93919384200126E-5
169,6.954886339372024E-5
170,6.359667895594612E-5
171,6.83794787619263E-5
172,5.82754728384316E-5
173,4.656957389670424E-5
174,4.060502033098601E-5
175,2.6740817702375352E-5
176,1.671376776357647E-5
177,2.8337848561932333E-5
178,4.728256317321211E-5
179,6.0269187088124454E-5
180,7.274172821780667E-5
181,8.220424933824688E-5
182,8.725508087081835E-5
183,9.949927334673703E-5
184,1.1303479550406337E-4
185,1.0516104521229863E-4
186,7.651474152226001E-5
187,4.867706593358889E-5
188,3.800735794357024E-5
189,5.7615576224634424E-5
190,1.0203007695963606E-4
191,1.24876169138588E-4
192,9.372072236146778E-5
193,4.7070767323020846E-5
194,3.6170229577692226E-5
195,5.388278077589348E-5
196,6.604669033549726E-5
197,6.771468179067597E-5
198,7.984725380083546E-5
199,1.0975437908200547E-4
200,1.3364590995479375E-4
201,1.2816913658753037E-4
202,1.0280861897626892E-4
203,8.044943388085812E-5
204,6.504468183265999E-5
205,4.953079769620672E-5
206,3.709202792379074E-5
207,3.4730866900645196E-5
208,3.9255901356227696E-5
209,4.3960728362435475E-5
210,4.921875006402843E-5
211,5.9066293033538386E-5
212,7.317277049878612E-5
213,8.526097371941432E-5
214,8.876399806467816E-5
215,8.427122520515695E-5
216,8.260401227744296E-5
217,9.585653606336564E-5
218,1.1890795576618984E-4
219,1.2973528646398336E-4
220,1.1499068205012009E-4
221,8.22345245978795E-5
222,4.9920359742827713E-5
223,3.9180758903967217E-5
224,6.033904355717823E-5
225,9.920872980728745E-5
226,1.365369971608743E-4
227,1.6849639359861612E-4
228,1.8348160665482283E-4
229,1.5532292309217155E-4
230,9.180944471154362E-5
231,4.639240069082007E-5
232,5.313302608556114E-5
233,9.085833153221756E-5
234,1.2372458877507597E-4
235,1.334418193437159E-4
236,1.1305110092507675E-4
237,7.278547855094075E-5
238,4.4593394704861566E-5
239,5.225956192589365E-5
240,8.859689114615321E-5
241,1.268339401576668E-4
242,1.412449055351317E-4
243,1.238035038113594E-4
244,8.756540773902088E-5
245,5.592978050117381E-5
246,4.852739584748633E-5
247,6.20131177129224E-5
248,7.464284863090143E-5
249,7.886758248787373E-5
250,7.817018922651187E-5
251,6.882334855617955E-5
252,5.7404959079576656E-5
253,5.7203003962058574E-5
254,6.426467007258907E-5
255,7.316377013921738E-5
256,8.54566169437021E-5
257,9.034242975758389E-5
258,8.08549884823151E-5
259,7.650877523701638E-5
260,9.155577572528273E-5
261,1.0721946455305442E-4
262,1.0125100379809737E-4
263,7.78701578383334E-5
264,6.227462290553376E-5
265,7.898915646364912E-5
266,1.1779736814787611E-4
267,1.3270361523609608E-4
268,1.0376409773016348E-4
269,6.472087261499837E-5
270,4.950624133925885E-5
271,5.413888720795512E-5
272,5.7151464716298506E-5
273,5.0133487093262374E-5
274,4.921619620290585E-5
275,7.458515756297857E-5
276,1.1431347229517996E-4
277,1.332046667812392E-4
278,1.2134305870858952E-4
279,1.0140133963432163E-4
280,9.018203127197921E-5
281,8.662563777761534E-5
282,9.348563617095351E-5
283,1.1478542728582397E-4
284,1.2886438344139606E-4
285,1.059759160852991E-4
286,6.0771759308408946E-5
287,3.7941117625450715E-5
288,4.5596356358146295E-5
289,5.532153227250092E-5
290,5.531502392841503E-5
291,5.492060154210776E-5
292,5.5742486438248307E-5
293,5.807338675367646E-5
294,7.14085836079903E-5
295,9.086237696465105E-5
296,9.661680087447166E-5
297,8.622419409221038E-5
298,7.303528400370851E-5
299,6.369555921992287E-5
300,6.0040834796382114E-5
301,6.609237607335672E-5
302,8.453826740151271E-5
303,1.12004519905895E-4
304,1.3623974518850446E-4
305,1.4163687592372298E-4
306,1.249807100975886E-4
307,1.0215175279881805E-4
308,8.806188270682469E-5
309,7.701137656113133E-5
310,6.055505946278572E-5
311,4.7601173719158396E-5
312,4.4782445911550894E-5
313,4.425590668688528E-5
314,4.2824522097362205E-5
315,4.06344624934718E-5
316,3.234121686546132E-5
317,2.360162034165114E-5
318,2.525870149838738E-5
