SHARAD Reading at Lat,Lon: 86.9603, 239.7945
Line (Pixels),Value (DN)
0,1.0573630424914882E-4
1,1.4774478040635586E-4
2,1.395743602188304E-4
3,9.708340076031163E-5
4,7.592345355078578E-5
5,9.032546950038522E-5
6,1.2069890362909064E-4
7,1.6133635654114187E-4
8,2.1089505753479898E-4
9,2.4349863815587014E-4
10,2.3434880131389946E-4
11,2.0096625667065382E-4
12,1.826253574108705E-4
13,1.829992834245786E-4
14,1.6940820205491036E-4
15,1.3032800052314997E-4
16,8.900898683350533E-5
17,5.9871563280466944E-5
18,4.147598156123422E-5
19,4.0331080526812E-5
20,5.465847425512038E-5
21,6.38248966424726E-5
22,6.720690726069734E-5
23,8.886452997103333E-5
24,1.2824460281990469E-4
25,1.5680478827562183E-4
26,1.620061375433579E-4
27,1.5183301002252847E-4
28,1.294726534979418E-4
29,9.535376739222556E-5
30,6.587939424207434E-5
31,6.780144030926749E-5
32,1.0360137821407989E-4
33,1.3891066191717982E-4
34,1.452780416002497E-4
35,1.323929609498009E-4
36,1.1654003901639953E-4
37,9.246533591067418E-5
38,5.971075006527826E-5
39,4.333069227868691E-5
40,6.405283784260973E-5
41,1.0439116158522666E-4
42,1.2348104792181402E-4
43,1.0273772204527631E-4
44,6.300254608504474E-5
45,3.7169425922911614E-5
46,4.045317473355681E-5
47,6.556498556165025E-5
48,9.083975601242855E-5
49,9.522318578092381E-5
50,8.008557779248804E-5
51,7.242630090331659E-5
52,9.404121374245733E-5
53,1.3200340617913753E-4
54,1.4791017747484148E-4
55,1.2056705600116402E-4
56,8.145347237586975E-5
57,8.586922194808722E-5
58,1.3459836191032082E-4
59,1.6443882486782968E-4
60,1.366662181681022E-4
61,8.4100836829748E-5
62,5.506609886651859E-5
63,6.159938493510708E-5
64,8.733681897865608E-5
65,1.0752658999990672E-4
66,1.0736966942204162E-4
67,9.622087964089587E-5
68,9.160240006167442E-5
69,9.836588287726045E-5
70,1.1393229942768812E-4
71,1.318362046731636E-4
72,1.3693416258320212E-4
73,1.1833680036943406E-4
